The column headings are as follows:
"Line (W#)" is the line in units of wavenumber
S/N is line signal to noise
BS distinguishes different possible P/Q/R sets
ODR is "Original Data Row" helps you find the line in raw data
J Val is the g.s. J value of the line
Diff is 2B for P/R or 2delB for Q branches
P/Q/R tells you what type each branch set is -1=P, 0=Q, 1=R
gsK is the ground state K value
Set label is a label for the stitchtog output
Output file for delK_0_gsK_1
Line (W#)	S/N	BS	ODR	J Val	Diff	P/Q/R	gsK	Set Label	
New Set
523.795834117	18.0	10.0	189.0	4.0	-0.0041	0.0	1.0	27.0	
523.781091918	22.0	10.0	187.0	6.0	-0.004	0.0	1.0	27.0	
523.769445861	12.0	10.0	185.0	7.0	-0.0043	0.0	1.0	27.0	
523.760725161	65.0	10.0	184.0	8.0	-0.0041	0.0	1.0	27.0	
523.743919869	34.0	10.0	181.0	9.0	-0.0044	0.0	1.0	27.0	
523.707363912	24.0	26.0	176.0	2.0	0.0661	-1.0	1.0	27.0	
523.641269855	88.0	26.0	165.0	3.0	0.0661	-1.0	1.0	27.0	
523.44433895	78.0	26.0	136.0	6.0	0.0656	-1.0	1.0	27.0	
523.370806079	39.0	26.0	126.0	7.0	0.0676	-1.0	1.0	27.0	
New Set
523.967726033	58.0	65.0	218.0	1.0	0.0698	1.0	1.0	28.0	
524.037478955	52.0	65.0	235.0	2.0	0.0698	1.0	1.0	28.0	
524.243362053	47.0	65.0	260.0	5.0	0.0686	1.0	1.0	28.0	
523.809334123	11.0	10.0	193.0	1.0	-0.004	0.0	1.0	28.0	
523.805315009	123.0	10.0	191.0	2.0	-0.004	0.0	1.0	28.0	
523.795834117	18.0	10.0	189.0	4.0	-0.0041	0.0	1.0	28.0	
523.781091918	22.0	10.0	187.0	6.0	-0.004	0.0	1.0	28.0	
523.769445861	12.0	10.0	185.0	7.0	-0.0043	0.0	1.0	28.0	
523.760725161	65.0	10.0	184.0	8.0	-0.0041	0.0	1.0	28.0	
523.743919869	34.0	10.0	181.0	9.0	-0.0044	0.0	1.0	28.0	
523.703215042	27.0	25.0	175.0	2.0	0.0712	-1.0	1.0	28.0	
523.632003111	80.0	25.0	164.0	3.0	0.0712	-1.0	1.0	28.0	
523.113227885	12.0	25.0	115.0	10.0	0.0741	-1.0	1.0	28.0	
New Set
523.967759055	67.0	66.0	219.0	1.0	0.0697	1.0	1.0	29.0	
524.037478955	52.0	66.0	235.0	2.0	0.0697	1.0	1.0	29.0	
524.243362053	47.0	66.0	260.0	5.0	0.0686	1.0	1.0	29.0	
523.809334123	11.0	10.0	193.0	1.0	-0.004	0.0	1.0	29.0	
523.805315009	123.0	10.0	191.0	2.0	-0.004	0.0	1.0	29.0	
523.795834117	18.0	10.0	189.0	4.0	-0.0041	0.0	1.0	29.0	
523.781091918	22.0	10.0	187.0	6.0	-0.004	0.0	1.0	29.0	
523.769445861	12.0	10.0	185.0	7.0	-0.0043	0.0	1.0	29.0	
523.760725161	65.0	10.0	184.0	8.0	-0.0041	0.0	1.0	29.0	
523.743919869	34.0	10.0	181.0	9.0	-0.0044	0.0	1.0	29.0	
523.703215042	27.0	25.0	175.0	2.0	0.0712	-1.0	1.0	29.0	
523.632003111	80.0	25.0	164.0	3.0	0.0712	-1.0	1.0	29.0	
523.113227885	12.0	25.0	115.0	10.0	0.0741	-1.0	1.0	29.0	
