The column headings are as follows:
"Line (W#)" is the line in units of wavenumber
S/N is line signal to noise
BS distinguishes different possible P/Q/R sets
ODR is "Original Data Row" helps you find the line in raw data
J Val is the g.s. J value of the line
Diff is 2B for P/R or 2delB for Q branches
P/Q/R tells you what type each branch set is -1=P, 0=Q, 1=R
gsK is the ground state K value
Set label is a label for the stitchtog output
Output file for delK_0_gsK_1
Line (W#)	S/N	BS	ODR	J Val	Diff	P/Q/R	gsK	Set Label	
New Set
524.028160842	33.0	45.0	233.0	5.0	0.0675	1.0	1.0	10.0	
524.103416905	12.0	45.0	243.0	6.0	0.0694	1.0	1.0	10.0	
524.15060088	42.0	45.0	252.0	7.0	0.065	1.0	1.0	10.0	
524.243362053	47.0	45.0	260.0	8.0	0.0696	1.0	1.0	10.0	
523.632003111	80.0	4.0	164.0	1.0	-0.0041	0.0	1.0	10.0	
523.627868917	36.0	4.0	163.0	2.0	-0.0041	0.0	1.0	10.0	
523.595260025	73.0	4.0	157.0	7.0	-0.0039	0.0	1.0	10.0	
523.582297057	132.0	4.0	156.0	8.0	-0.0041	0.0	1.0	10.0	
523.476273042	57.0	15.0	142.0	2.0	0.0698	-1.0	1.0	10.0	
523.406468084	57.0	15.0	130.0	3.0	0.0698	-1.0	1.0	10.0	
523.113227885	12.0	15.0	115.0	7.0	0.0733	-1.0	1.0	10.0	
522.964146083	12.0	15.0	108.0	9.0	0.0737	-1.0	1.0	10.0	
522.934670024	19.0	15.0	106.0	10.0	0.0674	-1.0	1.0	10.0	
New Set
523.793011164	56.0	46.0	188.0	1.0	0.0662	1.0	1.0	11.0	
523.859162928	22.0	46.0	199.0	2.0	0.0662	1.0	1.0	11.0	
523.926282028	24.0	46.0	210.0	3.0	0.0671	1.0	1.0	11.0	
523.989919053	63.0	46.0	224.0	4.0	0.0654	1.0	1.0	11.0	
524.056028121	18.0	46.0	238.0	5.0	0.0656	1.0	1.0	11.0	
524.111095884	15.0	46.0	244.0	6.0	0.063	1.0	1.0	11.0	
524.243362053	47.0	46.0	260.0	8.0	0.064	1.0	1.0	11.0	
523.65291391	4.0	5.0	168.0	1.0	0.0038	0.0	1.0	11.0	
523.656756902	11.0	5.0	169.0	2.0	0.0038	0.0	1.0	11.0	
523.660453126	46.0	5.0	171.0	3.0	0.0037	0.0	1.0	11.0	
523.703215042	27.0	5.0	175.0	8.0	0.0042	0.0	1.0	11.0	
523.707363912	24.0	5.0	176.0	9.0	0.0036	0.0	1.0	11.0	
523.53620884	56.0	17.0	151.0	2.0	0.0669	-1.0	1.0	11.0	
523.469289878	124.0	17.0	141.0	3.0	0.0669	-1.0	1.0	11.0	
523.113227885	12.0	17.0	115.0	8.0	0.0712	-1.0	1.0	11.0	
522.964146083	12.0	17.0	108.0	10.0	0.0722	-1.0	1.0	11.0	
New Set
523.793011164	56.0	46.0	188.0	1.0	0.0662	1.0	1.0	12.0	
523.859162928	22.0	46.0	199.0	2.0	0.0662	1.0	1.0	12.0	
523.926282028	24.0	46.0	210.0	3.0	0.0671	1.0	1.0	12.0	
523.989919053	63.0	46.0	224.0	4.0	0.0654	1.0	1.0	12.0	
524.056028121	18.0	46.0	238.0	5.0	0.0656	1.0	1.0	12.0	
524.111095884	15.0	46.0	244.0	6.0	0.063	1.0	1.0	12.0	
524.243362053	47.0	46.0	260.0	8.0	0.064	1.0	1.0	12.0	
523.656756902	11.0	6.0	169.0	1.0	-0.0038	0.0	1.0	12.0	
523.65291391	4.0	6.0	168.0	2.0	-0.0038	0.0	1.0	12.0	
523.64482298	97.0	6.0	166.0	4.0	-0.0035	0.0	1.0	12.0	
523.627868917	36.0	6.0	163.0	6.0	-0.0042	0.0	1.0	12.0	
523.608955166	24.0	6.0	161.0	8.0	-0.004	0.0	1.0	12.0	
523.595260025	73.0	6.0	157.0	9.0	-0.0041	0.0	1.0	12.0	
523.53620884	56.0	17.0	151.0	2.0	0.0669	-1.0	1.0	12.0	
523.469289878	124.0	17.0	141.0	3.0	0.0669	-1.0	1.0	12.0	
523.113227885	12.0	17.0	115.0	8.0	0.0712	-1.0	1.0	12.0	
522.964146083	12.0	17.0	108.0	10.0	0.0722	-1.0	1.0	12.0	
New Set
523.795834117	18.0	47.0	189.0	1.0	0.0719	1.0	1.0	13.0	
523.867740862	32.0	47.0	200.0	2.0	0.0719	1.0	1.0	13.0	
524.013628121	39.0	47.0	231.0	4.0	0.0729	1.0	1.0	13.0	
524.078095053	28.0	47.0	240.0	5.0	0.0701	1.0	1.0	13.0	
524.143484957	53.0	47.0	249.0	6.0	0.0689	1.0	1.0	13.0	
524.243362053	47.0	47.0	260.0	7.0	0.0751	1.0	1.0	13.0	
523.632003111	80.0	4.0	164.0	1.0	-0.0041	0.0	1.0	13.0	
523.627868917	36.0	4.0	163.0	2.0	-0.0041	0.0	1.0	13.0	
523.595260025	73.0	4.0	157.0	7.0	-0.0039	0.0	1.0	13.0	
523.582297057	132.0	4.0	156.0	8.0	-0.0041	0.0	1.0	13.0	
523.518448886	67.0	16.0	147.0	2.0	0.0741	-1.0	1.0	13.0	
523.44433895	78.0	16.0	136.0	3.0	0.0741	-1.0	1.0	13.0	
523.370806079	39.0	16.0	126.0	4.0	0.0735	-1.0	1.0	13.0	
522.964146083	12.0	16.0	108.0	9.0	0.08	-1.0	1.0	13.0	
522.934670024	19.0	16.0	106.0	10.0	0.0728	-1.0	1.0	13.0	
New Set
523.795834117	18.0	47.0	189.0	1.0	0.0719	1.0	1.0	14.0	
523.867740862	32.0	47.0	200.0	2.0	0.0719	1.0	1.0	14.0	
524.013628121	39.0	47.0	231.0	4.0	0.0729	1.0	1.0	14.0	
524.078095053	28.0	47.0	240.0	5.0	0.0701	1.0	1.0	14.0	
524.143484957	53.0	47.0	249.0	6.0	0.0689	1.0	1.0	14.0	
524.243362053	47.0	47.0	260.0	7.0	0.0751	1.0	1.0	14.0	
523.65291391	4.0	5.0	168.0	1.0	0.0038	0.0	1.0	14.0	
523.656756902	11.0	5.0	169.0	2.0	0.0038	0.0	1.0	14.0	
523.660453126	46.0	5.0	171.0	3.0	0.0037	0.0	1.0	14.0	
523.703215042	27.0	5.0	175.0	8.0	0.0042	0.0	1.0	14.0	
523.707363912	24.0	5.0	176.0	9.0	0.0036	0.0	1.0	14.0	
523.518448886	67.0	16.0	147.0	2.0	0.0741	-1.0	1.0	14.0	
523.44433895	78.0	16.0	136.0	3.0	0.0741	-1.0	1.0	14.0	
523.370806079	39.0	16.0	126.0	4.0	0.0735	-1.0	1.0	14.0	
522.964146083	12.0	16.0	108.0	9.0	0.08	-1.0	1.0	14.0	
522.934670024	19.0	16.0	106.0	10.0	0.0728	-1.0	1.0	14.0	
New Set
523.795834117	18.0	47.0	189.0	1.0	0.0719	1.0	1.0	15.0	
523.867740862	32.0	47.0	200.0	2.0	0.0719	1.0	1.0	15.0	
524.013628121	39.0	47.0	231.0	4.0	0.0729	1.0	1.0	15.0	
524.078095053	28.0	47.0	240.0	5.0	0.0701	1.0	1.0	15.0	
524.143484957	53.0	47.0	249.0	6.0	0.0689	1.0	1.0	15.0	
524.243362053	47.0	47.0	260.0	7.0	0.0751	1.0	1.0	15.0	
523.656756902	11.0	6.0	169.0	1.0	-0.0038	0.0	1.0	15.0	
523.65291391	4.0	6.0	168.0	2.0	-0.0038	0.0	1.0	15.0	
523.64482298	97.0	6.0	166.0	4.0	-0.0035	0.0	1.0	15.0	
523.627868917	36.0	6.0	163.0	6.0	-0.0042	0.0	1.0	15.0	
523.608955166	24.0	6.0	161.0	8.0	-0.004	0.0	1.0	15.0	
523.595260025	73.0	6.0	157.0	9.0	-0.0041	0.0	1.0	15.0	
523.518448886	67.0	16.0	147.0	2.0	0.0741	-1.0	1.0	15.0	
523.44433895	78.0	16.0	136.0	3.0	0.0741	-1.0	1.0	15.0	
523.370806079	39.0	16.0	126.0	4.0	0.0735	-1.0	1.0	15.0	
522.964146083	12.0	16.0	108.0	9.0	0.08	-1.0	1.0	15.0	
522.934670024	19.0	16.0	106.0	10.0	0.0728	-1.0	1.0	15.0	
New Set
523.798741128	50.0	48.0	190.0	1.0	0.069	1.0	1.0	16.0	
523.867740862	32.0	48.0	200.0	2.0	0.069	1.0	1.0	16.0	
523.936778957	25.0	48.0	212.0	3.0	0.069	1.0	1.0	16.0	
524.001761912	27.0	48.0	229.0	4.0	0.067	1.0	1.0	16.0	
524.078095053	28.0	48.0	240.0	5.0	0.0701	1.0	1.0	16.0	
524.1277911	17.0	48.0	246.0	6.0	0.065	1.0	1.0	16.0	
523.65291391	4.0	5.0	168.0	1.0	0.0038	0.0	1.0	16.0	
523.656756902	11.0	5.0	169.0	2.0	0.0038	0.0	1.0	16.0	
523.660453126	46.0	5.0	171.0	3.0	0.0037	0.0	1.0	16.0	
523.703215042	27.0	5.0	175.0	8.0	0.0042	0.0	1.0	16.0	
523.707363912	24.0	5.0	176.0	9.0	0.0036	0.0	1.0	16.0	
523.53620884	56.0	17.0	151.0	2.0	0.0669	-1.0	1.0	16.0	
523.469289878	124.0	17.0	141.0	3.0	0.0669	-1.0	1.0	16.0	
523.113227885	12.0	17.0	115.0	8.0	0.0712	-1.0	1.0	16.0	
522.964146083	12.0	17.0	108.0	10.0	0.0722	-1.0	1.0	16.0	
New Set
523.798741128	50.0	48.0	190.0	1.0	0.069	1.0	1.0	17.0	
523.867740862	32.0	48.0	200.0	2.0	0.069	1.0	1.0	17.0	
523.936778957	25.0	48.0	212.0	3.0	0.069	1.0	1.0	17.0	
524.001761912	27.0	48.0	229.0	4.0	0.067	1.0	1.0	17.0	
524.078095053	28.0	48.0	240.0	5.0	0.0701	1.0	1.0	17.0	
524.1277911	17.0	48.0	246.0	6.0	0.065	1.0	1.0	17.0	
523.656756902	11.0	6.0	169.0	1.0	-0.0038	0.0	1.0	17.0	
523.65291391	4.0	6.0	168.0	2.0	-0.0038	0.0	1.0	17.0	
523.64482298	97.0	6.0	166.0	4.0	-0.0035	0.0	1.0	17.0	
523.627868917	36.0	6.0	163.0	6.0	-0.0042	0.0	1.0	17.0	
523.608955166	24.0	6.0	161.0	8.0	-0.004	0.0	1.0	17.0	
523.595260025	73.0	6.0	157.0	9.0	-0.0041	0.0	1.0	17.0	
523.53620884	56.0	17.0	151.0	2.0	0.0669	-1.0	1.0	17.0	
523.469289878	124.0	17.0	141.0	3.0	0.0669	-1.0	1.0	17.0	
523.113227885	12.0	17.0	115.0	8.0	0.0712	-1.0	1.0	17.0	
522.964146083	12.0	17.0	108.0	10.0	0.0722	-1.0	1.0	17.0	
New Set
523.921927015	77.0	56.0	208.0	1.0	0.068	1.0	1.0	18.0	
523.989919053	63.0	56.0	224.0	2.0	0.068	1.0	1.0	18.0	
524.1277911	17.0	56.0	246.0	4.0	0.0689	1.0	1.0	18.0	
523.805315009	123.0	9.0	191.0	1.0	0.004	0.0	1.0	18.0	
523.809334123	11.0	9.0	193.0	2.0	0.004	0.0	1.0	18.0	
523.825759152	31.0	9.0	197.0	5.0	0.0041	0.0	1.0	18.0	
523.855659838	130.0	9.0	198.0	8.0	0.0042	0.0	1.0	18.0	
523.867740862	32.0	9.0	200.0	9.0	0.0042	0.0	1.0	18.0	
523.662551911	22.0	23.0	172.0	2.0	0.0673	-1.0	1.0	18.0	
523.595260025	73.0	23.0	157.0	3.0	0.0673	-1.0	1.0	18.0	
523.461719974	162.0	23.0	138.0	5.0	0.0668	-1.0	1.0	18.0	
523.113227885	12.0	23.0	115.0	10.0	0.0689	-1.0	1.0	18.0	
New Set
523.924132875	31.0	57.0	209.0	1.0	0.0681	1.0	1.0	19.0	
523.992257003	55.0	57.0	225.0	2.0	0.0681	1.0	1.0	19.0	
524.1277911	17.0	57.0	246.0	4.0	0.0678	1.0	1.0	19.0	
523.805315009	123.0	9.0	191.0	1.0	0.004	0.0	1.0	19.0	
523.809334123	11.0	9.0	193.0	2.0	0.004	0.0	1.0	19.0	
523.825759152	31.0	9.0	197.0	5.0	0.0041	0.0	1.0	19.0	
523.855659838	130.0	9.0	198.0	8.0	0.0042	0.0	1.0	19.0	
523.867740862	32.0	9.0	200.0	9.0	0.0042	0.0	1.0	19.0	
523.662551911	22.0	23.0	172.0	2.0	0.0673	-1.0	1.0	19.0	
523.595260025	73.0	23.0	157.0	3.0	0.0673	-1.0	1.0	19.0	
523.461719974	162.0	23.0	138.0	5.0	0.0668	-1.0	1.0	19.0	
523.113227885	12.0	23.0	115.0	10.0	0.0689	-1.0	1.0	19.0	
New Set
523.94701804	21.0	61.0	214.0	1.0	0.0666	1.0	1.0	20.0	
524.013628121	39.0	61.0	231.0	2.0	0.0666	1.0	1.0	20.0	
524.143484957	53.0	61.0	249.0	4.0	0.0649	1.0	1.0	20.0	
523.805315009	123.0	9.0	191.0	1.0	0.004	0.0	1.0	20.0	
523.809334123	11.0	9.0	193.0	2.0	0.004	0.0	1.0	20.0	
