The column headings are as follows:
"Line (W#)" is the line in units of wavenumber
S/N is line signal to noise
BS distinguishes different possible P/Q/R sets
ODR is "Original Data Row" helps you find the line in raw data
J Val is the g.s. J value of the line
Diff is 2B for P/R or 2delB for Q branches
P/Q/R tells you what type each branch set is -1=P, 0=Q, 1=R
gsK is the ground state K value
Set label is a label for the stitchtog output
Output file for delK_0_gsK_7
Line (W#)	S/N	BS	ODR	J Val	Diff	P/Q/R	gsK	Set Label	
New Set
523.995059942	28.0	92.0	226.0	7.0	0.0711	1.0	7.0	0.0	
524.066196155	30.0	92.0	239.0	8.0	0.0711	1.0	7.0	0.0	
524.21014107	49.0	92.0	259.0	10.0	0.072	1.0	7.0	0.0	
523.41499098	50.0	11.0	133.0	7.0	0.0167	0.0	7.0	0.0	
523.431664849	98.0	11.0	134.0	8.0	0.0167	0.0	7.0	0.0	
523.447824028	36.0	11.0	137.0	9.0	0.0162	0.0	7.0	0.0	
523.465513932	48.0	11.0	139.0	10.0	0.016	0.0	7.0	0.0	
523.488672954	39.0	11.0	143.0	11.0	0.0171	0.0	7.0	0.0	
523.503828105	161.0	11.0	145.0	12.0	0.0155	0.0	7.0	0.0	
523.525832995	86.0	11.0	149.0	13.0	0.0154	0.0	7.0	0.0	
523.549168138	42.0	11.0	153.0	14.0	0.0153	0.0	7.0	0.0	
523.58116394	37.0	11.0	155.0	15.0	0.016	0.0	7.0	0.0	
522.878149923	101.0	14.0	105.0	8.0	0.0706	-1.0	7.0	0.0	
522.807544078	24.0	14.0	100.0	9.0	0.0706	-1.0	7.0	0.0	
522.666556875	80.0	14.0	97.0	11.0	0.0705	-1.0	7.0	0.0	
New Set
523.995059942	28.0	92.0	226.0	7.0	0.0711	1.0	7.0	1.0	
524.066196155	30.0	92.0	239.0	8.0	0.0711	1.0	7.0	1.0	
524.21014107	49.0	92.0	259.0	10.0	0.072	1.0	7.0	1.0	
523.431664849	98.0	12.0	134.0	7.0	-0.0167	0.0	7.0	1.0	
523.41499098	50.0	12.0	133.0	8.0	-0.0167	0.0	7.0	1.0	
523.376908968	16.0	12.0	127.0	10.0	-0.018	0.0	7.0	1.0	
523.355946133	75.0	12.0	125.0	11.0	-0.0177	0.0	7.0	1.0	
523.341213941	57.0	12.0	123.0	12.0	-0.0158	0.0	7.0	1.0	
523.32170411	85.0	12.0	121.0	13.0	-0.0153	0.0	7.0	1.0	
523.246696887	44.0	12.0	119.0	15.0	-0.018	0.0	7.0	1.0	
522.878149923	101.0	14.0	105.0	8.0	0.0706	-1.0	7.0	1.0	
522.807544078	24.0	14.0	100.0	9.0	0.0706	-1.0	7.0	1.0	
522.666556875	80.0	14.0	97.0	11.0	0.0705	-1.0	7.0	1.0	
New Set
523.995059942	28.0	92.0	226.0	7.0	0.0711	1.0	7.0	2.0	
524.066196155	30.0	92.0	239.0	8.0	0.0711	1.0	7.0	2.0	
524.21014107	49.0	92.0	259.0	10.0	0.072	1.0	7.0	2.0	
523.447824028	36.0	13.0	137.0	7.0	-0.0162	0.0	7.0	2.0	
523.431664849	98.0	13.0	134.0	8.0	-0.0162	0.0	7.0	2.0	
523.41499098	50.0	13.0	133.0	9.0	-0.0167	0.0	7.0	2.0	
523.376908968	16.0	13.0	127.0	11.0	-0.0164	0.0	7.0	2.0	
523.349335893	107.0	13.0	124.0	12.0	-0.0176	0.0	7.0	2.0	
523.323928983	38.0	13.0	122.0	13.0	-0.0176	0.0	7.0	2.0	
523.271913999	81.0	13.0	120.0	15.0	-0.0171	0.0	7.0	2.0	
522.878149923	101.0	14.0	105.0	8.0	0.0706	-1.0	7.0	2.0	
522.807544078	24.0	14.0	100.0	9.0	0.0706	-1.0	7.0	2.0	
522.666556875	80.0	14.0	97.0	11.0	0.0705	-1.0	7.0	2.0	
New Set
523.996877867	23.0	93.0	227.0	7.0	0.0693	1.0	7.0	3.0	
524.066196155	30.0	93.0	239.0	8.0	0.0693	1.0	7.0	3.0	
524.135522115	33.0	93.0	247.0	9.0	0.0693	1.0	7.0	3.0	
524.20219991	52.0	93.0	258.0	10.0	0.068	1.0	7.0	3.0	
523.431664849	98.0	12.0	134.0	7.0	-0.0167	0.0	7.0	3.0	
523.41499098	50.0	12.0	133.0	8.0	-0.0167	0.0	7.0	3.0	
523.376908968	16.0	12.0	127.0	10.0	-0.018	0.0	7.0	3.0	
523.355946133	75.0	12.0	125.0	11.0	-0.0177	0.0	7.0	3.0	
523.341213941	57.0	12.0	123.0	12.0	-0.0158	0.0	7.0	3.0	
523.32170411	85.0	12.0	121.0	13.0	-0.0153	0.0	7.0	3.0	
523.246696887	44.0	12.0	119.0	15.0	-0.018	0.0	7.0	3.0	
522.878149923	101.0	14.0	105.0	8.0	0.0706	-1.0	7.0	3.0	
522.807544078	24.0	14.0	100.0	9.0	0.0706	-1.0	7.0	3.0	
522.666556875	80.0	14.0	97.0	11.0	0.0705	-1.0	7.0	3.0	
New Set
523.996877867	23.0	93.0	227.0	7.0	0.0693	1.0	7.0	4.0	
524.066196155	30.0	93.0	239.0	8.0	0.0693	1.0	7.0	4.0	
524.135522115	33.0	93.0	247.0	9.0	0.0693	1.0	7.0	4.0	
524.20219991	52.0	93.0	258.0	10.0	0.068	1.0	7.0	4.0	
523.447824028	36.0	13.0	137.0	7.0	-0.0162	0.0	7.0	4.0	
523.431664849	98.0	13.0	134.0	8.0	-0.0162	0.0	7.0	4.0	
523.41499098	50.0	13.0	133.0	9.0	-0.0167	0.0	7.0	4.0	
523.376908968	16.0	13.0	127.0	11.0	-0.0164	0.0	7.0	4.0	
523.349335893	107.0	13.0	124.0	12.0	-0.0176	0.0	7.0	4.0	
523.323928983	38.0	13.0	122.0	13.0	-0.0176	0.0	7.0	4.0	
523.271913999	81.0	13.0	120.0	15.0	-0.0171	0.0	7.0	4.0	
522.878149923	101.0	14.0	105.0	8.0	0.0706	-1.0	7.0	4.0	
522.807544078	24.0	14.0	100.0	9.0	0.0706	-1.0	7.0	4.0	
522.666556875	80.0	14.0	97.0	11.0	0.0705	-1.0	7.0	4.0	
